"Ид","Ид ОК","Время","Обводненность, %","Вода, %","Газ, %","Нефть, %","Давление, МПа","Температура, °С","MassFlowrate","WaterFlowrate","OilFlowrate","GasFlowrate","Плотность нефти","Плотность Воды"
"1411","2","01.24.2017 03:23:33.063","2","0","0","0","800000","0,359117537736893","0","0","0","0","0","0"
"1412","2","01.24.2017 03:23:49.382","2","0","0","0","800000","-0,112147286534309","0","0","0","0","0","0"
"1413","2","01.24.2017 03:23:47.670","2","0","0","0","800000","0,561631739139557","0","0","0","0","0","0"
"1414","2","01.24.2017 03:23:45.958","2","0","0","0","800000","0,0635290220379829","0","0","0","0","0","0"
"1415","2","01.24.2017 03:23:44.070","2","0","0","0","800000","-0,102770045399666","0","0","0","0","0","0"
"1416","2","01.24.2017 03:23:40.450","2","0","0","0","800000","0,639013528823853","0","0","0","0","0","0"
"1417","2","01.24.2017 03:23:36.850","2","0","0","0","800000","0,541883587837219","0","0","0","0","0","0"
"1418","2","01.24.2017 03:23:38.720","2","0","0","0","800000","0,422993838787079","0","0","0","0","0","0"
"1419","2","01.24.2017 03:23:51.101","2","0","0","0","800000","0,403850972652435","0","0","0","0","0","0"
"1420","2","01.24.2017 03:23:42.250","2","0","0","0","800000","0,351460546255112","0","0","0","0","0","0"
"1421","2","01.24.2017 03:23:35.112","2","0","0","0","800000","0,198928326368332","0","0","0","0","0","0"
"1422","2","01.24.2017 03:24:01.431","2","0","0","0","800000","0,465108513832092","0","0","0","0","0","0"
"1423","2","01.24.2017 03:24:13.239","2","0","0","0","800000","0,223107352852821","0","0","0","0","0","0"
"1424","2","01.24.2017 03:24:08.831","2","0","0","0","800000","0,180189713835716","0","0","0","0","0","0"
"1425","2","01.24.2017 03:24:04.349","2","0","0","0","800000","0,318414658308029","0","0","0","0","0","0"
"1426","2","01.24.2017 03:24:02.909","2","0","0","0","800000","0,260383665561676","0","0","0","0","0","0"
"1427","2","01.24.2017 03:23:54.749","2","0","0","0","800000","0,142511293292046","0","0","0","0","0","0"
"1428","2","01.24.2017 03:24:07.260","2","0","0","0","800000","0,19207763671875","0","0","0","0","0","0"
"1429","2","01.24.2017 03:24:10.299","2","0","0","0","800000","0,271868884563446","0","0","0","0","0","0"
"1430","2","01.24.2017 03:24:11.769","2","0","0","0","800000","0,382290184497833","0","0","0","0","0","0"
"1431","2","01.24.2017 03:23:58.489","2","0","0","0","800000","0,192480623722076","0","0","0","0","0","0"
"1432","2","01.24.2017 03:23:52.920","2","0","0","0","800000","0,557601451873779","0","0","0","0","0","0"
"1433","2","01.24.2017 03:24:05.799","2","0","0","0","800000","0,28154069185257","0","0","0","0","0","0"
"1434","2","01.24.2017 03:23:59.969","2","0","0","0","800000","0,269853919744492","0","0","0","0","0","0"
"1435","2","01.24.2017 03:23:56.809","2","0","0","0","800000","0,612010300159454","0","0","0","0","0","0"
"1436","2","01.24.2017 03:24:14.709","2","0","0","0","800000","0,311966717243195","0","0","0","0","0","0"
"1437","2","01.24.2017 03:24:29.459","2","0","0","0","800000","0,472765803337097","0","0","0","0","0","0"
"1438","2","01.24.2017 03:24:23.569","2","0","0","0","800000","0,301085859537125","0","0","0","0","0","0"
"1439","2","01.24.2017 03:24:30.939","2","0","0","0","800000","0,0814610570669174","0","0","0","0","0","0"
"1440","2","01.24.2017 03:24:20.600","2","0","0","0","800000","0,475586920976639","0","0","0","0","0","0"
"1441","2","01.24.2017 03:24:19.140","2","0","0","0","800000","0,325265616178513","0","0","0","0","0","0"
"1442","2","01.24.2017 03:24:17.669","2","0","0","0","800000","0,502387523651123","0","0","0","0","0","0"
"1443","2","01.24.2017 03:24:16.192","2","0","0","0","800000","0,394178837537766","0","0","0","0","0","0"
"1444","2","01.24.2017 03:24:33.889","2","0","0","0","800000","0,498961865901947","0","0","0","0","0","0"
"1445","2","01.24.2017 03:24:22.049","2","0","0","0","800000","0,299473881721497","0","0","0","0","0","0"
"1446","2","01.24.2017 03:24:25.039","2","0","0","0","800000","0,377454161643982","0","0","0","0","0","0"
"1447","2","01.24.2017 03:24:32.429","2","0","0","0","800000","0,106243692338467","0","0","0","0","0","0"
"1448","2","01.24.2017 03:24:26.509","2","0","0","0","800000","0,230361089110374","0","0","0","0","0","0"
"1449","2","01.24.2017 03:24:27.979","2","0","0","0","800000","0,203159645199776","0","0","0","0","0","0"
"1450","2","01.24.2017 03:35:24.258","3","0","0","0","800000","0,125586360692978","0","0","0","0","0","0"
"1451","2","01.24.2017 03:35:42.788","3","0","0","0","800000","0,277913749217987","0","0","0","0","0","0"
"1452","2","01.24.2017 03:35:34.248","3","0","0","0","800000","0,0345155820250511","0","0","0","0","0","0"
"1453","2","01.24.2017 03:35:39.948","3","0","0","0","800000","0,320832639932632","0","0","0","0","0","0"
"1454","2","01.24.2017 03:35:41.358","3","0","0","0","800000","0,257361233234406","0","0","0","0","0","0"
"1455","2","01.24.2017 03:35:44.208","3","0","0","0","800000","0,42782998085022","0","0","0","0","0","0"
"1456","2","01.24.2017 03:35:29.970","3","0","0","0","800000","0,282951146364212","0","0","0","0","0","0"
"1457","2","01.24.2017 03:35:25.717","3","0","0","0","800000","-0,0467195697128773","0","0","0","0","0","0"
"1458","2","01.24.2017 03:35:38.518","3","0","0","0","800000","0,446368455886841","0","0","0","0","0","0"
